algo,n,time_ms,comparisons,swaps,allocations,max_depth,seed,trial
mergesort,100000,19,1637978,1670823,100000,14,123,1
mergesort,100000,10,1640397,1673537,100000,14,123,2
mergesort,100000,7,1639306,1672221,100000,14,123,3
mergesort,100000,23,1637978,1670823,100000,14,123,1
mergesort,100000,11,1640397,1673537,100000,14,123,2
mergesort,100000,6,1639306,1672221,100000,14,123,3
mergesort,50000,11,769507,785861,50000,13,123,1
mergesort,50000,8,770020,786542,50000,13,123,2
quicksort,50000,17,950867,217659,0,10,123,1
quicksort,50000,29,975876,217020,0,10,123,2
select,50000,12,243587,161767,32707,14,123,1
select,50000,3,242752,161378,32614,15,123,2
closest,15000,38,18430,0,15000,14,123,1
mergesort,10000,2,127139,131105,10000,11,123,1
mergesort,10000,2,127112,131012,10000,11,123,2
mergesort,10000,1,127211,131056,10000,11,123,3
mergesort,80000,13,1256011,1286947,80000,14,123,1
mergesort,80000,17,1257197,1288359,80000,14,123,2
mergesort,80000,6,1256882,1287732,80000,14,123,3
quicksort,80000,22,1717341,357435,0,10,123,1
quicksort,80000,40,1530772,364466,0,10,123,2
quicksort,80000,38,1594536,360653,0,11,123,3
select,80000,19,389099,258693,52158,15,123,1
select,80000,2,388468,258171,52050,15,123,2
select,80000,2,388008,257961,52021,15,123,3
closest,40000,123,52477,0,40000,15,123,1
